filename,rms_wfe,pv_wfe,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,coeff_11,coeff_12,coeff_13,coeff_14,coeff_15,coeff_16,coeff_17,coeff_18,coeff_19,coeff_20,coeff_21,coeff_22,coeff_23,coeff_24,coeff_25,coeff_26,coeff_27
1.csv,144.3745160425559,790.4839999999999,0.37233111126371393,52.79239825243441,-45.70322625158515,-0.7972741334531293,-0.16747980480912084,-0.8189110952345141,-0.46632190787028804,1.7219785156503047,-0.35183110820229935,-1.3607501118225684,0.47204129709962217,0.2524455697196595,0.11473887917717107,-0.3148217432458189,-0.1639667158948006,-0.6643810779185788,0.01829971414855258,0.47787291109044894,0.37428490627706124,0.7170997063463371,-0.19331155289391155,-0.16859075682141267,0.06458979326971281,0.0387757556812699,-0.006049501142439517,-0.009333759209631864,0.0982454103746857
10.csv,147.43119096536353,807.94,0.044521066153570474,54.27035740438002,-45.469497106250046,-1.1041842187716604,-0.062145097464253674,-0.9492641721920991,-0.5261901014563897,2.058172430082724,0.037151971226016656,-1.7988639758992768,0.37590460439509776,0.4811312116169022,0.046866093948152,-0.4746740302119221,-0.23886641077849813,-0.7880231571412093,-0.09412312088077002,0.49992842110319735,0.4490569963185185,1.0069800171088215,-0.36335647819857275,-0.1765034785858468,0.11159869084485763,0.06476755143620672,0.003046087025089239,-0.03698343162527351,0.1687339027614243
11.csv,144.07148159566472,777.5640000000001,0.6061437911016474,53.00332211129059,-44.97466018282758,-0.6369502087953158,-0.2658076457285512,-1.2444958586164336,-0.1891694696418691,1.703440429140615,-0.29205649549922086,-1.4673873533912918,0.5088567297359834,0.19500961379152737,0.0742388418063884,-0.10241986189029717,-0.09244717099780209,-0.7061130663364974,0.0577202419168259,0.5615222147945165,0.23738993601758818,0.7512894169492199,-0.08635661969276587,-0.13090094783987283,0.05034848337966391,-0.012791133875443061,0.028181142858302977,0.03360627138405903,0.024706956647250422
12.csv,144.1918162838346,792.5509999999999,0.2308362446662577,52.92653503998295,-45.3887629326712,-0.9293249963736336,-0.13532592842536584,-1.1729213099449103,-0.3843613146806,1.708843939812768,-0.15539722457204164,-1.3461514795962568,0.4504103626167222,0.32884744962517987,0.13951659497098134,-0.3914973419251311,-0.12576124586237736,-0.6585293116055855,-0.011561613162310636,0.45296408851770487,0.35569220598799367,0.7626951986107358,-0.21959850299557626,-0.14316910226886037,0.06943611812248385,0.06439467859885073,-0.038131328812763154,0.003942881759350314,0.22897037626876227
13.csv,144.4109077562733,788.424,0.4142106086997559,53.18115678105785,-45.12142983478737,-0.7284292896002107,-0.37556285113163757,-1.2121942735343239,-0.15992691208684828,1.8090292356464168,-0.2544371292315244,-1.2503602410165282,0.5541097165694833,0.20255464838172843,0.07101495903501931,-0.07346083423955818,-0.0812551807556594,-0.7116640463730963,0.09094236633823094,0.4908280025340179,0.2124452223675064,0.6313970170107304,-0.023754694616957117,-0.11427552533327301,0.04096582862040332,-0.01943077846136665,0.05464605955889512,0.03519899033610585,0.012596436235405406
14.csv,146.2681560041662,791.216,0.732663034186592,54.01281850153294,-44.85164558090211,-0.6441863573713587,-0.15027490746938632,-1.1575598466941341,-0.3121775221191587,2.01654863582341,-0.0731657589602106,-1.578499798681607,0.4405745085486785,0.32214170578713386,0.08702976267580631,-0.3044355245801711,-0.20709137953779244,-0.778298578371821,-8.769440606037904e-05,0.5829969571158458,0.27274298272572484,0.790303579190553,-0.2507131238507405,-0.1036406542977808,0.07397185236105308,-0.014508594285974619,0.09310023679447799,0.045011103670258734,0.04596480390317126
15.csv,148.11807375962636,815.2049999999999,-0.28072527827456967,54.62848357033511,-45.342753665149175,-1.4491059882845665,-0.3126861025741432,-0.5265984983678993,-0.6017961344201046,2.256018960602372,0.27148709910868085,-1.8317034499438343,0.25244282830237275,0.6092947326026621,0.1670463382891123,-0.6424519522266081,-0.4145959578714953,-0.7708682401418567,-0.2070450988933743,0.40919783140868304,0.48747356583374524,1.15068850107059,-0.38561504445218375,-0.16367923111472038,0.16757859481672366,0.07357095682410808,-0.12379028275037873,-0.027173420207276422,0.2809172235710946
16.csv,147.39375999466702,804.953,0.07628686252096713,54.45937034718348,-45.509461569566746,-1.1128583714851192,-0.18583276213859268,-0.684483334440362,-0.5793800344797297,2.1117183126981445,0.1421906891713567,-1.6160066480951194,0.34101210118895153,0.5434581091789032,0.09306111352457869,-0.4884900197047699,-0.1606802899906481,-0.8034970160390262,-0.09972232077487142,0.5606875331728247,0.49843156757237317,0.9714676190506619,-0.3696019480698842,-0.19059386134814815,0.11406033682895433,0.05638527479161137,0.006434921154196527,-0.13263172601359585,0.03609570753494751
17.csv,148.42885895676469,814.201,0.22925238294424496,54.37548992789226,-45.76846428969145,-1.068787060489166,-0.14164331928173013,-0.5383388468615949,-0.7565010392968325,2.144795121845876,0.17751365269487795,-1.4834533308554434,0.2478325925258389,0.5851913219632263,0.11111598226171004,-0.6412883670527414,-0.18138750780592794,-0.7683087584133155,-0.15238935607924198,0.519721791399423,0.5177062066463227,0.876281997896756,-0.38297585871129414,-0.21788214311345655,0.11456882189211726,0.06217211914877452,0.0013128548679008922,-0.03559468373501673,0.09030946121680117
18.csv,147.085251595317,800.396,0.35614405353034345,54.442078278118764,-44.90953373940872,-0.8533631945952482,-0.4123385920030769,-1.1029184620927843,-0.2811733540435606,2.120000049363732,-0.1152186984685013,-1.55009234414951,0.44421094741089107,0.3526886305719432,0.07342315843830427,-0.3922487667110808,-0.18952320528750777,-0.8093034386051627,-0.03986848093992457,0.5190817440341853,0.35483652583741243,0.8881603291849611,-0.190094671704923,-0.1547040877764232,0.1214799821731054,0.020331388363435066,0.014530558897955625,-0.01438779876535179,0.1465379546864689
