filename,rms_wfe,pv_wfe,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,coeff_11,coeff_12,coeff_13,coeff_14,coeff_15,coeff_16,coeff_17,coeff_18,coeff_19,coeff_20,coeff_21,coeff_22,coeff_23,coeff_24,coeff_25,coeff_26,coeff_27
1.csv,145.12778035914738,776.8230000000001,26.816495910206157,54.87003987115894,-41.497240050611026,1.015766533544303,-2.831430021533458,-1.890513618057701,0.684984905519172,1.7761483502667226,-1.9980356391855854,-1.2378447003503645,-0.11875711140545482,0.9155495536194259,0.80597123117168,0.13385744788035472,-1.5379121890890128,-0.8821632985179165,-0.21959542127167492,0.46438090153850586,0.7084759250511086,0.05241376784888274,-0.5985199631221616,0.28703585234608653,-0.22657164973018507,-0.3726807685682907,0.5596267801825929,-0.10383999843079827,-0.30131180642688093
10.csv,141.99086193331118,765.2470000000001,26.306341931355142,53.385181021340266,-42.21331017414888,0.7536742096036547,-2.2045792528713464,-1.7329347141410867,0.6380867062879161,1.3925581299568905,-1.1858939326040974,-1.2256238830458683,-0.02794425683977138,0.8200715042693443,0.8565434533606511,0.07964485342130663,-0.7007202537642708,-0.7135818468578798,-0.22762644005447458,0.45158199321331516,0.544774937758544,0.14686782882219518,-0.10139858264978274,0.3283907198376017,-0.32853735571720843,-0.31159178424719514,0.25906226296661883,-0.034710884421963684,0.04575070596069608
11.csv,143.87076723190305,774.746,26.59059798250915,54.1287610994036,-42.21528469373059,0.9097941663215369,-2.732407615233056,-1.7346166610727036,0.6047674969878308,1.5873405810320407,-1.9212154206145067,-1.2339310189079287,-0.06862841356309464,0.8753946825938842,0.8100493216574993,0.14598989146370117,-1.2630425997899917,-0.8054551860358814,-0.18495626387917602,0.4835176288186904,0.699161770963558,0.17224713697906324,-0.5332502563147039,0.2894816102453319,-0.2577955454755827,-0.3467543365409398,0.4566180471289337,-0.08842739347011985,-0.28235389492605023
12.csv,144.2245997530815,771.59,26.51866927344295,54.37652730257865,-41.319867485335735,0.786363516817249,-2.8235901814063724,-1.8059812769576853,0.7229379656191512,1.686393444049055,-1.9298156235777038,-1.1247425651242549,-0.09722733587303206,0.861539058687759,0.8138833380220023,0.051488703256493476,-1.3005600085452305,-0.8203841543911731,-0.23004971381374661,0.4792718031363732,0.7401470246383424,0.20476103177752947,-0.5494731794211751,0.32588549684013834,-0.27597089827118015,-0.3334565616983305,0.49790381793187277,-0.06173717893903152,-0.23953898631856418
13.csv,145.195830360358,777.0809999999999,26.773793204774737,54.47695837446735,-41.80261866068792,1.0384588216817174,-2.7838122125101368,-1.8102228774620903,0.6704849163905199,1.7332116363828973,-1.9689894510679875,-1.0657360948862589,-0.11001845677488598,0.8219431540084572,0.8160097945324141,0.0287247697878298,-1.5298855302187886,-0.8468209058273495,-0.19081117240108408,0.4305893302574675,0.6825144328128454,0.056469763040272625,-0.6467313812017841,0.27771406683366884,-0.24453562385791727,-0.339597084717294,0.5532969945648258,-0.06425457628909292,-0.23479381479765493
14.csv,144.87626567659007,773.713,26.73726566203175,54.63195033817688,-41.42567290443512,0.9648497669609853,-2.7626553532272093,-1.8121465679356539,0.7087405809935005,1.773245482452267,-1.9875322338377606,-1.1583749717265217,-0.08742383014840814,0.8855582487286692,0.7820751347603436,0.012802205335086064,-1.5729860584551012,-0.8631131647459056,-0.21270027096891836,0.481060043810257,0.6947310080348466,0.05463273284144066,-0.6146439246948205,0.3103690321924599,-0.23564444083517433,-0.3658857211926012,0.5755850310349697,-0.026620144167084803,-0.2892067505256115
15.csv,143.2691533546476,768.358,26.568236008208753,54.14016424592825,-41.00088744283049,0.7943408452788469,-2.7193330354629484,-1.8496997193680846,0.7257253871495244,1.5908605287106519,-2.0493915653632255,-1.2673545370173638,-0.08633003482488705,0.8652130574597163,0.8494425433514309,0.10588821874150232,-1.2638142179365293,-0.7873161399349744,-0.24852468337092673,0.49079978178981865,0.7750376744463612,0.1866781633727932,-0.509548476597282,0.3283561428749717,-0.27920875856224914,-0.3702985500775391,0.4593717028529878,-0.08301004157597625,-0.2898542802000854
16.csv,143.97248532283663,774.566,26.873821981888423,54.2473545570552,-41.77423489446712,1.0844277957095427,-2.7765235205303376,-1.8730695070735572,0.6238065413461751,1.6632821476229906,-1.9600461663232998,-1.1321076252143805,-0.10749549465839116,0.8925611200218266,0.7977157554490251,0.08124773546647437,-1.54354607599219,-0.8318142825978263,-0.1993904798092937,0.426149832241963,0.725225857317545,0.007208623089169919,-0.620067920332718,0.26942741089456135,-0.23815854133837,-0.3202750936020635,0.5594616865027047,-0.0728382635346847,-0.25269838186082794
17.csv,144.42540807194786,776.575,26.720553583277315,54.32300061265983,-41.94385210085626,1.0078094504945887,-2.7897166993431375,-1.9077519844359099,0.670029749228473,1.6974608585610818,-2.084597882675999,-1.1787544131642569,-0.10563458313372301,0.8280435763784135,0.7650365436817748,0.13882078569639034,-1.4940782299718602,-0.8343639412859459,-0.1893453309399127,0.4536397919944051,0.7192685220466348,-0.03308963718622593,-0.6009907216422112,0.28213411978538616,-0.2216487925038324,-0.33427143398168013,0.5410734267835894,-0.08957813362381017,-0.29978749791002457
18.csv,144.22347484622279,771.079,26.413715044520234,54.169482681509606,-41.190815215328946,0.7140054114242017,-2.8879540282239557,-2.0547797521395497,0.778676927223999,1.6983424783130687,-2.2934282372058945,-1.3438118512472714,-0.12137462110954002,0.9089319187156254,0.8357597049566184,0.10536888660422282,-1.7382573723287744,-0.789546733981049,-0.22619348088864644,0.5081212748849349,0.7940705154562355,0.04958165841690132,-0.8312853410304064,0.31489224734556664,-0.20952579875268107,-0.36306536772409004,0.671033219817185,-0.09011032769470084,-0.40745332043959337
