X_mm,Y_mm,WF_mean_µm
-3.75,2.85,-292.4076
-3.6,2.85,-281.37675
-3.45,2.85,-270.63120000000004
-3.3,2.85,-260.16655000000003
-3.15,2.85,-249.97704999999996
-3.0,2.85,-240.05154999999996
-2.85,2.85,-230.37980000000002
-2.7,2.85,-220.94714999999997
-2.55,2.85,-211.73665
-2.4,2.85,-202.73240000000004
-2.25,2.85,-193.91649999999998
-2.1,2.85,-185.26895000000002
-1.95,2.85,-176.77835
-1.8,2.85,-168.42664999999997
-1.65,2.85,-160.20390000000003
-1.5,2.85,-152.10015
-1.35,2.85,-144.10904999999997
-1.2,2.85,-136.22525
-1.05,2.85,-128.45199999999997
-0.9,2.85,-120.78869999999999
-0.75,2.85,-113.23705000000002
-0.6,2.85,-105.8065
-0.45,2.85,-98.5001
-0.3,2.85,-91.34035000000002
-0.15,2.85,-84.3434
0.0,2.85,-77.53645000000002
0.15,2.85,-71.04934999999999
0.3,2.85,-64.67255000000002
0.45,2.85,-58.39175
0.6,2.85,-52.16775
0.75,2.85,-46.0006
0.9,2.85,-39.873400000000004
1.05,2.85,-33.7796
1.2,2.85,-27.715300000000003
1.35,2.85,-21.703500000000002
1.5,2.85,-15.759399999999996
1.65,2.85,-9.90695
1.8,2.85,-4.1555
1.95,2.85,1.4707000000000001
2.1,2.85,6.959100000000001
2.25,2.85,12.31195
2.4,2.85,17.532149999999998
2.55,2.85,22.626399999999997
2.7,2.85,27.60935
2.85,2.85,32.502300000000005
3.0,2.85,37.32215
3.15,2.85,42.1062
3.3,2.85,46.873200000000004
3.45,2.85,51.65
3.6,2.85,56.462599999999995
3.75,2.85,61.32644999999998
3.9,2.85,66.26530000000001
4.05,2.85,71.28549999999998
4.2,2.85,76.39904999999999
4.35,2.85,81.6082
4.5,2.85,86.9083
4.65,2.85,92.29585
4.8,2.85,97.76259999999999
4.95,2.85,103.30165
5.1,2.85,108.9093
5.25,2.85,114.57185000000001
5.4,2.85,
,2.85,
-5.4,2.7,
-5.25,2.7,
-5.1,2.7,-393.3082
-4.95,2.7,-380.09125000000006
-4.8,2.7,-366.9470000000001
-4.65,2.7,-354.0625
-4.5,2.7,-341.4452
-4.35,2.7,-329.10074999999995
-4.2,2.7,-317.03270000000003
-4.05,2.7,-305.24445000000003
-3.9,2.7,-293.74620000000004
-3.75,2.7,-282.53604999999993
-3.6,2.7,-271.61620000000005
-3.45,2.7,-260.986
-3.3,2.7,-250.64355
-3.15,2.7,-240.5854
-3.0,2.7,-230.80499999999998
-2.85,2.7,-221.2904499999999
-2.7,2.7,-212.02975
-2.55,2.7,-203.01010000000002
-2.4,2.7,-194.21269999999998
-2.25,2.7,-185.6218
-2.1,2.7,-177.21790000000004
-1.95,2.7,-168.9817
-1.8,2.7,-160.89735
-1.65,2.7,-152.95039999999997
-1.5,2.7,-145.1292
-1.35,2.7,-137.4259
-1.2,2.7,-129.8323
-1.05,2.7,-122.34644999999998
-0.9,2.7,-114.96585
-0.75,2.7,-107.69144999999999
-0.6,2.7,-100.52895
-0.45,2.7,-93.47734999999999
-0.3,2.7,-86.55195000000002
-0.15,2.7,-79.76365000000001
0.0,2.7,-73.13675
