X_mm,Y_mm,WF_mean_µm
1.8,3.0,-7.999
1.95,3.0,-2.6234000000000006
2.1,3.0,2.6096999999999997
2.25,3.0,7.697399999999999
2.4,3.0,12.64375
2.55,3.0,17.45
2.7,3.0,22.13195
2.85,3.0,26.7144
3.0,3.0,31.2118
3.15,3.0,35.665850000000006
3.3,3.0,40.0896
3.45,3.0,44.506899999999995
3.6,3.0,48.945100000000004
3.75,3.0,53.4165
3.9,3.0,57.94465
4.05,3.0,62.53495
4.2,3.0,67.20155000000001
4.35,3.0,71.95185
4.5,3.0,76.78240000000001
4.65,3.0,81.6896
4.8,3.0,86.67219999999999
4.95,3.0,91.72510000000001
5.1,3.0,96.84834999999998
5.25,3.0,102.03235
5.4,3.0,
,3.0,
-5.4,2.85,
-5.25,2.85,
-5.1,2.85,-383.6028
-4.95,2.85,-370.5241
-4.8,2.85,-357.5974
-4.65,2.85,-344.95424999999994
-4.5,2.85,-332.5991
-4.35,2.85,-320.5425000000001
-4.2,2.85,-308.79054999999994
-4.05,2.85,-297.347
-3.9,2.85,-286.22139999999996
-3.75,2.85,-275.41274999999996
-3.6,2.85,-264.91864999999996
-3.45,2.85,-254.73859999999996
-3.3,2.85,-244.86730000000003
-3.15,2.85,-235.29635000000002
-3.0,2.85,-226.01129999999998
-2.85,2.85,-216.996
-2.7,2.85,-208.2295
-2.55,2.85,-199.68659999999997
-2.4,2.85,-191.3422
-2.25,2.85,-183.16935000000004
-2.1,2.85,-175.1408
-1.95,2.85,-167.23824999999997
-1.8,2.85,-159.44074999999998
-1.65,2.85,-151.73740000000004
-1.5,2.85,-144.11989999999997
-1.35,2.85,-136.58450000000002
-1.2,2.85,-129.12775
-1.05,2.85,-121.75534999999999
-0.9,2.85,-114.46900000000001
-0.75,2.85,-107.27550000000001
-0.6,2.85,-100.1936
-0.45,2.85,-93.2379
-0.3,2.85,-86.44164999999998
-0.15,2.85,-79.829
0.0,2.85,-73.43469999999999
0.15,2.85,-67.37584999999999
0.3,2.85,-61.43609999999999
0.45,2.85,-55.5656
0.6,2.85,-49.73375
0.75,2.85,-43.927299999999995
0.9,2.85,-38.1328
