filename,rms_wfe,pv_wfe,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,coeff_11,coeff_12,coeff_13,coeff_14,coeff_15,coeff_16,coeff_17,coeff_18,coeff_19,coeff_20,coeff_21,coeff_22,coeff_23,coeff_24,coeff_25,coeff_26,coeff_27
1.csv,137.63132477173292,744.788,20.911800976059784,52.36748222525053,-40.78406693867508,-0.16194839225319665,-3.940042895745382,-1.2178429491243785,1.1136891969270752,1.1304927209514892,-2.5298283559049892,-0.5636202240048871,0.15823237397051618,0.5101682465519423,0.9938784425735719,0.04368847721974189,-2.2823840875862373,-0.6631127198557346,-0.3004648159550686,0.2478409580921849,0.8457528475889546,0.15105719430775993,-0.9427160366907295,0.18270204804917967,-0.2881104618864476,-0.1993046333978299,0.90331291959134,-0.05183102427661268,-0.43048391595667773
10.csv,142.04965543605178,764.685,21.2857208122332,53.9844392687551,-40.16983348316083,-0.047476359591327275,-3.742951925682374,-1.571806861512492,1.205877427907994,1.5982013242030182,-2.756347735658531,-0.6716452354435517,0.03889354789572782,0.6192484889295242,0.9526761762629754,0.08615849142812396,-1.9726557342650761,-0.7702525877494252,-0.3448270588036612,0.25472284526544064,0.9160459208767548,0.40084234845175504,-0.8797055943414307,0.18553518136045177,-0.27397387284003405,-0.2501214313269635,0.7932498822214182,-0.042759503971517177,-0.48676189405250636
11.csv,144.5645227567969,759.085,21.09273878076024,54.97265171664931,-39.79672161757059,-0.1462997736588558,-3.91248906473428,-1.5210303978115352,1.2787272228873752,1.7775952220837148,-2.3954322556519334,-0.6718705906898976,0.08643579303845514,0.6480470422830442,1.0047775751123174,0.2713990382521429,-2.354116110591158,-0.870033633940484,-0.3471000862455117,0.247921223734264,0.7938936527908425,0.3713348436156302,-0.8739680000023293,0.20209317707829655,-0.2903800678351655,-0.2698081267869199,0.9289354574874067,-0.16891100525140246,-0.48594574261092727
12.csv,144.06872024985245,759.766,21.300302351720525,54.6288405779411,-39.9784393808469,-0.04978691695268835,-3.6559427437204373,-1.5894280417329136,1.315039669295732,1.781573530164961,-2.8706823405755726,-0.7185121277687208,0.052388194246715314,0.5973870764971906,0.9107923603165367,0.07570811933656131,-2.156956391282055,-0.8212256704349971,-0.314221669936982,0.2473218456690637,0.9166962892568051,0.5340802184408012,-0.9476496006447022,0.20125493096500424,-0.2708118195964048,-0.25565037373871036,0.8469176243779805,-0.07427209002417356,-0.43413402973973214
13.csv,142.6690741042944,754.785,21.381271365988006,54.33942468676326,-39.850889662620446,-0.001726922047726773,-3.7354974987206906,-1.5293087287754268,1.3325699990597792,1.6998967940849359,-2.7599785669535475,-0.7168891547284966,0.04574316707319312,0.6588806794668122,0.9253243001592885,0.0471573091465963,-2.0195982791581897,-0.8361251468528215,-0.32840457505746845,0.26047823014384613,0.9222510389484349,0.5601657949016302,-0.9596359121874016,0.2036156528379207,-0.2889653037047452,-0.2730568524870911,0.7856053298770502,-0.08667937020582883,-0.4809539576454442
14.csv,143.35285139257866,759.722,21.49381318950198,54.60666416635881,-39.5132437725489,0.1340171907010977,-3.980991597016058,-1.465440524993136,1.397666544528572,1.726844338792564,-2.5694610056874505,-0.6557488075319812,0.06849671219445311,0.6096662135506634,0.9959780386702082,0.1826996075180845,-2.35718131155007,-0.8599874307776145,-0.3491139649203244,0.23912407654354967,0.8340279890693658,0.36349741472362224,-0.8277096328527751,0.1687269424090614,-0.26846960532064645,-0.2645262603418672,0.9684615615508535,-0.15309525462978257,-0.4748468438616285
15.csv,143.34895295295334,759.7090000000001,21.169255631865493,54.51987135193112,-39.53632630695482,-0.09388830022064583,-4.015875609528262,-1.7722747772040857,1.3365248007226735,1.6961323475381622,-2.5019623660768087,-0.7151318657578067,0.07826863908974088,0.6414692149831455,1.0231029998633439,0.17784059657681203,-2.352924111238008,-0.8589418307244918,-0.37820445480328213,0.2845644155038312,0.8129336205876712,0.36923308611102035,-0.8662392159123833,0.18599512540239882,-0.2570782960967674,-0.25619089862657773,0.9534596498742898,-0.1519222179741604,-0.4084818205489171
16.csv,143.21231826012382,756.765,21.16089710370035,54.82580636110424,-39.91720582898452,-0.1008925030457437,-3.930580403865843,-1.6617376841706721,1.259788864104499,1.733556292263385,-2.4084027833481643,-0.8652996368009622,0.07569231807352403,0.6449508293890001,1.025998033196466,0.20185007038654906,-2.385281330684878,-0.8860284532998419,-0.3541536063750551,0.2948572900424443,0.7878563927520013,0.37631924769825054,-0.9203228281361211,0.1854084620206109,-0.2807473571436925,-0.2551763569621741,0.9115455926454444,-0.17076736575283746,-0.4665277613625063
17.csv,142.4969493414984,761.856,21.199068957490162,54.261823176342524,-39.81458025976553,-0.08043948295650262,-4.095225358649866,-1.8093646034644724,1.2724706104432126,1.6540963233226804,-2.479817945929813,-0.7204518395200967,0.05652693046103667,0.6146313204641425,1.0511170782573567,0.26891055389686136,-2.3963823343890067,-0.8164982885291142,-0.3728906805286172,0.28949361513693794,0.8067628489290506,0.30953331455401195,-0.9486156103268737,0.18484324661924756,-0.268959444760431,-0.2191005157389725,0.9460081344753092,-0.1832741645994851,-0.4944734617972611
18.csv,141.88294381034777,759.577,21.315151729361745,54.178786577370644,-40.042786615349684,0.035161714686365204,-4.011413094051002,-1.540758756173099,1.165949190821641,1.6121523390989558,-2.3710131179265113,-0.7350982902050582,0.09953361050330391,0.610428860789692,0.9996592216548352,0.12530280178824393,-2.353438612785259,-0.814244775631033,-0.34725254809322686,0.31156699520470055,0.7683552245743037,0.34600786187277077,-0.9646508598824788,0.16420767244357126,-0.26903623378419794,-0.2538032688964442,0.9378913432615676,-0.11023540493565775,-0.39545605663745964
