X_mm,Y_mm,WF_mean_µm
3.9,3.0,53.2094
4.05,3.0,58.594849999999994
4.2,3.0,64.03855
4.35,3.0,69.5461
4.5,3.0,75.10675
4.65,3.0,80.71074999999999
4.8,3.0,86.3596
4.95,3.0,92.05064999999999
5.1,3.0,97.78555
5.25,3.0,103.55550000000001
5.4,3.0,
,3.0,
-5.4,2.85,
-5.25,2.85,
-5.1,2.85,-389.56080000000003
-4.95,2.85,-385.7933
-4.8,2.85,-373.10675000000003
-4.65,2.85,-360.7203500000001
-4.5,2.85,-348.6364500000001
-4.35,2.85,-336.8624
-4.2,2.85,-325.40145
-4.05,2.85,-314.25315000000006
-3.9,2.85,-303.42224999999996
-3.75,2.85,-292.90319999999997
-3.6,2.85,-282.68874999999997
-3.45,2.85,-272.77540000000005
-3.3,2.85,-263.15349999999995
-3.15,2.85,-253.81365
-3.0,2.85,-244.73995000000005
-2.85,2.85,-235.91745
-2.7,2.85,-227.32545000000005
-2.55,2.85,-218.9411
-2.4,2.85,-210.7413
-2.25,2.85,-202.70200000000006
-2.1,2.85,-194.7978
-1.95,2.85,-187.01364999999998
-1.8,2.85,-179.33155
-1.65,2.85,-171.74355
-1.5,2.85,-164.24309999999997
-1.35,2.85,-156.8269
-1.2,2.85,-149.4893
-1.05,2.85,-142.23155000000003
-0.9,2.85,-135.04690000000002
-0.75,2.85,-127.92190000000001
-0.6,2.85,-120.84015
-0.45,2.85,-113.76514999999999
-0.3,2.85,-106.6732
-0.15,2.85,-99.5432
0.0,2.85,-92.42595
0.15,2.85,-85.458
0.3,2.85,-78.55720000000001
0.45,2.85,-71.73515
0.6,2.85,-65.01185
0.75,2.85,-58.41819999999999
0.9,2.85,-51.930949999999996
1.05,2.85,-45.55004999999999
1.2,2.85,-39.29205
1.35,2.85,-33.15495
1.5,2.85,-27.137300000000003
1.65,2.85,-21.24035
1.8,2.85,-15.469800000000001
1.95,2.85,-9.833400000000001
2.1,2.85,-4.326600000000001
2.25,2.85,1.0658
2.4,2.85,6.3582
2.55,2.85,11.568399999999999
2.7,2.85,16.72185
2.85,2.85,21.848500000000005
3.0,2.85,26.97065
3.15,2.85,32.123549999999994
3.3,2.85,37.318349999999995
3.45,2.85,42.5689
3.6,2.85,47.883799999999994
3.75,2.85,53.261199999999995
3.9,2.85,58.70635000000001
4.05,2.85,64.2102
4.2,2.85,69.77165
4.35,2.85,75.38425
4.5,2.85,81.0384
4.65,2.85,86.72984999999998
4.8,2.85,92.45325
4.95,2.85,98.20785
5.1,2.85,103.99739999999997
5.25,2.85,109.8183
5.4,2.85,
,2.85,
-5.4,2.7,
-5.25,2.7,
-5.1,2.7,-378.7212727272727
-4.95,2.7,-372.74875000000003
-4.8,2.7,-360.15549999999996
-4.65,2.7,-347.85530000000006
-4.5,2.7,-335.85720000000003
-4.35,2.7,-324.1672
-4.2,2.7,-312.78755
-4.05,2.7,-301.72059999999993
-3.9,2.7,-290.9736
-3.75,2.7,-280.5416
-3.6,2.7,-270.423
-3.45,2.7,-260.6137
-3.3,2.7,-251.10750000000002
-3.15,2.7,-241.8967
-3.0,2.7,-232.97095
-2.85,2.7,-224.314
-2.7,2.7,-215.90865
-2.55,2.7,-207.73655
-2.4,2.7,-199.77155
-2.25,2.7,-191.99100000000004
-2.1,2.7,-184.36690000000004
-1.95,2.7,-176.87415
-1.8,2.7,-169.494
-1.65,2.7,-162.21319999999997
-1.5,2.7,-155.02429999999998
-1.35,2.7,-147.92405000000002
-1.2,2.7,-140.90730000000002
-1.05,2.7,-133.97405
-0.9,2.7,-127.12390000000002
-0.75,2.7,-120.35430000000001
-0.6,2.7,-113.6575
-0.45,2.7,-107.00129999999999
-0.3,2.7,-100.34450000000001
-0.15,2.7,-93.6002
0.0,2.7,-86.75534999999999
0.15,2.7,-79.82685000000001
0.3,2.7,-72.9333
0.45,2.7,-66.1343
0.6,2.7,-59.45374999999999
0.75,2.7,-52.931000000000004
0.9,2.7,-46.49305
1.05,2.7,-40.159949999999995
1.2,2.7,-33.9696
1.35,2.7,-27.895050000000005
1.5,2.7,-21.93565
1.65,2.7,-16.099449999999997
1.8,2.7,-10.3956
1.95,2.7,-4.82775
2.1,2.7,0.6151499999999998
2.25,2.7,5.9516
2.4,2.7,11.20205
2.55,2.7,16.3965
2.7,2.7,21.554799999999997
2.85,2.7,26.70985
3.0,2.7,31.889249999999993
3.15,2.7,37.118550000000006
3.3,2.7,42.40909999999999
3.45,2.7,47.76709999999999
3.6,2.7,53.1995
3.75,2.7,58.70245000000001
3.9,2.7,64.27214999999998
4.05,2.7,69.89959999999999
4.2,2.7,75.57964999999999
4.35,2.7,81.30409999999999
4.5,2.7,87.06194999999998
4.65,2.7,92.85095
4.8,2.7,98.66725
4.95,2.7,104.51115
5.1,2.7,110.38795
5.25,2.7,116.29780000000001
5.4,2.7,
,2.7,
-5.4,2.55,
-5.25,2.55,
-5.1,2.55,-367.3165454545455
-4.95,2.55,-360.00665
-4.8,2.55,-347.51250000000005
-4.65,2.55,-335.30455
-4.5,2.55,-323.39375000000007
-4.35,2.55,-311.78535
-4.2,2.55,-300.4853
-4.05,2.55,-289.49805000000003
-3.9,2.55,-278.83395
-3.75,2.55,-268.48265000000004
-3.6,2.55,-258.4498
-3.45,2.55,-248.73465000000004
-3.3,2.55,-239.33070000000004
-3.15,2.55,-230.23155000000003
-3.0,2.55,-221.43125
-2.85,2.55,-212.9187
-2.7,2.55,-204.67680000000001
-2.55,2.55,-196.69130000000004
-2.4,2.55,-188.94009999999997
-2.25,2.55,-181.3991
-2.1,2.55,-174.03894999999997
-1.95,2.55,-166.83085
-1.8,2.55,-159.748
-1.65,2.55,-152.77105
-1.5,2.55,-145.89094999999998
-1.35,2.55,-139.10105000000004
-1.2,2.55,-132.39804999999998
-1.05,2.55,-125.77694999999997
-0.9,2.55,-119.24255000000001
-0.75,2.55,-112.79875000000001
-0.6,2.55,-106.4538
-0.45,2.55,-100.19915
-0.3,2.55,-94.02239999999999
-0.15,2.55,-87.77464999999998
0.0,2.55,-81.31405
0.15,2.55,-74.31640000000002
0.3,2.55,-67.4025
0.45,2.55,-60.644400000000005
0.6,2.55,-54.02415
0.75,2.55,-47.59335
0.9,2.55,-41.2008
1.05,2.55,-34.91959999999999
1.2,2.55,-28.820500000000003
1.35,2.55,-22.803599999999996
1.5,2.55,-16.900850000000002
1.65,2.55,-11.125100000000003
1.8,2.55,-5.49675
1.95,2.55,-0.00044999999999999484
2.1,2.55,5.38065
2.25,2.55,10.671650000000001
2.4,2.55,15.900549999999996
2.55,2.55,21.0968
2.7,2.55,26.286049999999996
2.85,2.55,31.496449999999992
3.0,2.55,36.756150000000005
3.15,2.55,42.085449999999994
3.3,2.55,47.49085
3.45,2.55,52.970849999999984
3.6,2.55,58.5298
3.75,2.55,64.1612
3.9,2.55,69.85545
4.05,2.55,75.60484999999998
4.2,2.55,81.3963
4.35,2.55,87.22409999999999
4.5,2.55,93.07849999999999
4.65,2.55,98.95875000000001
4.8,2.55,104.86354999999999
4.95,2.55,110.7944
5.1,2.55,116.7569
5.25,2.55,122.75564999999999
5.4,2.55,
,2.55,
-5.4,2.4,
-5.25,2.4,
-5.1,2.4,-358.60100000000006
-4.95,2.4,-348.0141
-4.8,2.4,-335.6251
-4.65,2.4,-323.5175499999999
-4.5,2.4,-311.69955
-4.35,2.4,-300.1772
-4.2,2.4,-288.9593000000001
-4.05,2.4,-278.0486499999999
-3.9,2.4,-267.46310000000005
-3.75,2.4,-257.19055
-3.6,2.4,-247.23755
-3.45,2.4,-237.60545000000008
-3.3,2.4,-228.29239999999996
-3.15,2.4,-219.29315000000003
-3.0,2.4,-210.60200000000003
-2.85,2.4,-202.21179999999998
-2.7,2.4,-194.109
-2.55,2.4,-186.2851
-2.4,2.4,-178.71980000000002
-2.25,2.4,-171.3935
-2.1,2.4,-164.27775
-1.95,2.4,-157.33985
-1.8,2.4,-150.54635000000002
-1.65,2.4,-143.86904999999996
-1.5,2.4,-137.29485
-1.35,2.4,-130.81345000000005
-1.2,2.4,-124.42365000000002
-1.05,2.4,-118.11404999999999
-0.9,2.4,-111.88290000000002
-0.75,2.4,-105.73599999999996
-0.6,2.4,-99.69099999999999
-0.45,2.4,-93.73969999999998
-0.3,2.4,-87.96724999999999
-0.15,2.4,-82.1943
0.0,2.4,-76.09535000000001
0.15,2.4,-69.0563
0.3,2.4,-62.263999999999996
0.45,2.4,-55.66320000000002
0.6,2.4,-49.19
0.75,2.4,-42.90079999999999
0.9,2.4,-36.65615
1.05,2.4,-30.510650000000005
1.2,2.4,-24.55265
1.35,2.4,-18.570050000000002
1.5,2.4,-12.729800000000001
1.65,2.4,-7.022200000000001
1.8,2.4,-1.4804999999999997
1.95,2.4,3.94435
2.1,2.4,9.27365
2.25,2.4,14.5394
2.4,2.4,19.769399999999997
2.55,2.4,24.992300000000007
2.7,2.4,30.237600000000004
2.85,2.4,35.5297
3.0,2.4,40.894349999999996
3.15,2.4,46.34335
3.3,2.4,51.876850000000005
3.45,2.4,57.488099999999996
3.6,2.4,63.178449999999984
3.75,2.4,68.93775000000001
3.9,2.4,74.75295000000001
4.05,2.4,80.6163
4.2,2.4,86.51280000000001
4.35,2.4,92.43749999999999
4.5,2.4,98.38335000000001
4.65,2.4,104.35014999999999
4.8,2.4,110.33945000000001
4.95,2.4,116.35535
5.1,2.4,122.40525000000002
5.25,2.4,128.49280000000002
5.4,2.4,
,2.4,
-5.4,2.25,
-5.25,2.25,
-5.1,2.25,-350.2906
-4.95,2.25,-337.74745
-4.8,2.25,-325.471
-4.65,2.25,-313.46835
-4.5,2.25,-301.7484
-4.35,2.25,-290.3177999999999
-4.2,2.25,-279.18449999999996
-4.05,2.25,-268.35325
-3.9,2.25,-257.8431
-3.75,2.25,-247.64775000000003
-3.6,2.25,-237.77204999999998
-3.45,2.25,-228.21730000000002
-3.3,2.25,-218.98605000000003
-3.15,2.25,-210.07485000000003
-3.0,2.25,-201.47739999999996
-2.85,2.25,-193.1931
-2.7,2.25,-185.20995
-2.55,2.25,-177.52045000000004
-2.4,2.25,-170.11424999999997
-2.25,2.25,-162.97385000000003
-2.1,2.25,-156.0756
-1.95,2.25,-149.38835
-1.8,2.25,-142.87290000000002
-1.65,2.25,-136.4909
-1.5,2.25,-130.21755000000002
-1.35,2.25,-124.04139999999995
-1.2,2.25,-117.96570000000001
-1.05,2.25,-111.96544999999999
-0.9,2.25,-106.03285000000001
-0.75,2.25,-100.1078
-0.6,2.25,-94.22580000000002
-0.45,2.25,-88.34305
-0.3,2.25,-82.61765
-0.15,2.25,-76.95354999999999
0.0,2.25,-70.8887
0.15,2.25,-63.79994999999999
0.3,2.25,-57.1555
0.45,2.25,-50.7043
0.6,2.25,-44.395799999999994
0.75,2.25,-38.2256
0.9,2.25,-32.179950000000005
1.05,2.25,-26.234050000000003
1.2,2.25,-20.433
1.35,2.25,-14.633
1.5,2.25,-8.968749999999998
1.65,2.25,-3.3390999999999997
1.8,2.25,2.0958999999999994
1.95,2.25,7.4632999999999985
2.1,2.25,12.763699999999996
2.25,2.25,18.028100000000002
2.4,2.25,23.284499999999998
2.55,2.25,28.562599999999996
2.7,2.25,33.89275
2.85,2.25,39.2946
3.0,2.25,44.78475
3.15,2.25,50.36835000000001
3.3,2.25,56.038499999999985
3.45,2.25,61.78709999999999
3.6,2.25,67.6081
3.75,2.25,73.4902
3.9,2.25,79.41735
4.05,2.25,85.3842
4.2,2.25,91.37539999999998
4.35,2.25,97.39009999999999
4.5,2.25,103.42049999999999
4.65,2.25,109.47160000000001
4.8,2.25,115.54480000000001
4.95,2.25,121.64529999999998
5.1,2.25,127.7846
5.25,2.25,133.9649
5.4,2.25,
,2.25,
-5.4,2.1,
-5.25,2.1,
-5.1,2.1,-341.5424999999999
-4.95,2.1,-329.12645000000003
-4.8,2.1,-316.96864999999997
-4.65,2.1,-305.0782
